file,sentence
KDS 14 20 70.txt,"이 기준은 건설기준 코드체계 전환에 따라 기존 건설기준(설계기준, 표준시방서) 간 중복․상충을 비교 검토하여 코드로 통합 정비하였다.
"
KDS 14 20 70.txt,"이 기준은 기존의 콘크리트 설계기준에 해당되는 부분을 통합 정비하여 기준으로 제정한 것으로 제ㆍ개정 연혁은 다음과 같다.
"
KDS 14 20 70.txt,"이 기준은 콘크리트 슬래브와 기초판의 설계방법을 제시하고 부재의 안전성을 확보하기 위한 최소한의 요구조건을 규정한다.
"
KDS 14 20 70.txt,"이 기준의 규정 중에서 4.1.1의 규정은 1방향 슬래브에 적용하여야 하고, 그 외의 4.1 규정은 받침부 사이에 보의 유무에 관계없이 2방향 이상으로 휨 보강되는 슬래브 시스템 설계에 적용하여야 한다.
"
KDS 14 20 70.txt,"장방형 2방향 슬래브는 부록에 따라 설계할 수 있다.
"
KDS 14 20 70.txt,"속찬 슬래브와 장선 또는 리브 사이에 영구적이거나 제거할 수 있는 채움재에 의하여 움푹 파인 곳이나 구멍이 있는 슬래브도 이 기준의 규정을 따라야 한다.
"
KDS 14 20 70.txt,"이 기준의 규정에 따라 설계된 슬래브의 최소 두께는 KDS 14 20 30(4.2) 규정에 따라야 한다.
"
KDS 14 20 70.txt,"독립기초의 기초판 설계는 이 기준의 규정을 따르는 것을 원칙으로 하며, 벽기초, 복합기초와 전면기초의 기초판 설계에도 적용할 수 있다.
"
KDS 14 20 70.txt,"벽기초, 복합기초와 전면기초의 기초판을 설계할 경우에는 4.2.4.2의 규정도 따라야 한다.
"
KDS 14 20 70.txt,"마주보는 두 변에만 지지되는 1방향 슬래브는 KDS 14 20 20의 규정에 따라 설계하여야 한다.
"
KDS 14 20 70.txt,"4변에 의해 지지되는 2방향 슬래브 중에서 단변에 대한 장변의 비가 2배를 넘으면 1방향 슬래브로 해석하며, 이 경우 일반적으로 슬래브의 단변방향의 경간을 사용하여 KDS 14 20 20의 규정에 따라 설계하여야 한다.
"
KDS 14 20 70.txt,"그리고 이때 사용하는 경간은 KDS 14 20 10(4.7)의 규정에 따라야 한다.
"
KDS 14 20 70.txt,"철근콘크리트 보와 일체로 만든 연속 슬래브의 휨모멘트 및 전단력을 구하기 위하여, 단순받침부 위에 놓인 연속보로 가정하여 탄성해석 또는 KDS 14 20 10(4.1)에 따른 근사적인 계산 방법을 사용할 수 있다.
"
KDS 14 20 70.txt,"이때 경간은 KDS 14 20 10(4.7)의 규정에 따라야 하고, 산정되는 휨모멘트는 다음과 같이 수정하여 설계하여야 한다.
"
KDS 14 20 70.txt,"활하중에 의한 경간 중앙의 부모멘트는 산정된 값의 1/2만 취할 수 있다.
"
KDS 14 20 70.txt,"경간 중앙의 정모멘트는 양단 고정으로 보고 계산한 값 이상이어야 한다.
"
KDS 14 20 70.txt,"순경간이 3.0m를 초과할 때 순경간 내면의 휨모멘트를 사용할 수 있다. 그러나 이 값들이 순경간을 경간으로 하여 계산한 고정단 휨모멘트 이상으로 하여야 한다.
"
KDS 14 20 70.txt,"슬래브 양단부의 보의 처짐이 서로 다를 때는 그 영향을 고려하여야 한다.
"
KDS 14 20 70.txt,"1방향 슬래브의 두께는 KDS 14 20 30(4.2.1)에 따라야 하며, 최소 100mm 이상으로 하여야 한다.
"
KDS 14 20 70.txt,"슬래브의 정모멘트 철근 및 부모멘트 철근의 중심 간격은 위험단면에서는 슬래브 두께의 2배 이하이어야 하고, 또한 300mm 이하로 하여야 한다.
"
KDS 14 20 70.txt,"기타의 단면에서는 슬래브 두께의 3배 이하이어야 하고, 또한 450mm 이하로 하여야 한다.
"
KDS 14 20 70.txt,"1방향 슬래브에서는 정모멘트 철근 및 부모멘트 철근에 직각방향으로 수축·온도철근을 KDS 14 20 50(4.6.2)에 따라 배치하여야 한다.
"
KDS 14 20 70.txt,"슬래브 끝의 단순받침부에서도 내민슬래브에 의하여 부모멘트가 일어나는 경우에는 이에 상응하는 철근을 배치하여야 한다.
"
KDS 14 20 70.txt,"슬래브의 단변방향 보의 상부에 부모멘트로 인해 발생하는 균열을 방지하기 위하여 슬래브의 장변방향으로 슬래브 상부에 철근을 배치하여야 한다.
"
KDS 14 20 70.txt,"배치 방법은 KDS 14 20 10(4.10(3))에 따라야 한다.
"
KDS 14 20 70.txt,"유효지지단면은 슬래브의 바닥 표면 또는 지판이 있는 경우는 이의 바닥 표면이 기둥축을 중심으로 45° 내로 펼쳐진 기둥과 기둥머리 또는 브래킷 내에 위치한 가장 큰 정원추, 정사면추 또는 쐐기 형태의 표면과 이루는 절단면으로 정의된다.
"
