index	sentence	check	triplet
0	 앵커 또는 앵커 그룹은 휨, 전단, 지압 또는 이들의 조합하중 상태에서 발현되는 부속물의 연성 항복 메커니즘 뿐만 아니라 부속물의 초과 강도와 변형경화 효과를 고려하여 앵커 또는 앵커 그룹으로 전달될 수 있는 최대전단력에 대해 설계하여야 한다.	0	
1	휨모멘트를 결정하는 경간방향으로 보가 기둥에 연결되어 있는 경우의 비틀림강성은, 보가 없는 슬래브만의 단면2차모멘트에 대한 그 보를 포함한 슬래브 단면2차모멘트의 비를 곱하여 구하여야 한다.	1	['비틀림강성은', '비를', '곱하여']
2	콘크리트에 매입되지 않은 강재 단면과의 접합에 사용되는 용접앵커의 공칭강도는 항복강도를 25% 감소하여 사용한다.	1	['공칭강도는', '항복강도를', '사용한다.']
3	D19 이상의 철근을 스터럽과 띠철근으로 사용할 때, 표준갈고리 구부림 내면 반지름은 표 4.1.1에 따라야 한다.	0	
4	헌치는 계산상 필요로 하지 않는 경우에도 보강철근을 배치하여야 한다.	1	['헌치는', '보강철근을', '배치하여야 한다.']
5	기둥 웨브와 떨어진 보강판은 보강판 전체두께의 강도가 발현되도록 완전용입용접이나 필릿용접을 사용해서 기둥 플랜지에 용접한다.	1	['보강판보강판은', '필릿용접을', '사용해서']
6	구조용 강재는 표 3.1-1에 나타낸 한국산업표준(이하 ‘KS‘라 한다)에 적합한 것을 사용한다.	1	['강재는', '것을', '사용한다.']
7	연속판이 있는 보강판은 연속판을 통한 하중전달을 고려하여 연속판에 용접한다.	1	['보강판은', '하중전달을', '고려하여']
8	또한 철근의 간격은 300mm를 넘지 않도록 배근해야 한다.	1	['간격은', '300mm를', '배근해야 한다.']
9	여기에 명시된 사항 외에는 4.3.3.1.3 규정을 적용해야 한다.	0	
10	수평전단력에 대한 전단연결재로는 단일철근이나 철선, 다중 스터럽 또는 용접철망의 수직철근 등이 사용될 수 있다.	0	
11	허용전단응력은 다음과 같다.	0	
12	설계화재의 크기는 검증된 실험적 결과를 사용할 수 있다.	1	['크기는', '결과를', '사용할 수 있다.']
13	앵커볼트의 설계는 4.1.3.3에 따른다.	0	
14	최종조건이 부모멘트부의 비합성 부재인 경우, 영구적인 하중으로 인한 휨의 변곡점구간에는 추가적인 전단연결재를 설치해야 한다.	0	
15	웨브에 구멍이 있는 부분의 소요전단강도가 설계전단강도를 초과하는 경우 이를 적절히 보강해야 한다.	1	['소요전단강도가', '설계전단강도를', '초과하는']
16	4.3.3.1.2.1(1)의 규정을 만족하는 웨브를 가진 정모멘트부 합성단면을 제외하고 모든 단면은 다음의 규정을 만족해야 한다.	1	['단면은', '규정을', '만족해야 한다.']
17	평판의 연결부 설계는 KDS 14 30 25를 따른다.	1	['설계는', '25를', '따른다.']
18	아치구조의 설계는 이 기준의 규정을 적용하여야 하며, 휨모멘트와 축력을 받는 부재 또는 순수 압축력만을 받는 부재의 설계는 해당하는 기준의 규정도 따라야 한다.	1	['설계는', '규정을', '적용하여야 하며']
19	이 절에서 포함하는 단면의 종류는 표 4.3-1과 같고 단면의 폭두께비 제한은 표 4.3-2와 같다.	0	
20	합성부재 및 접합부의 내력 산정을 위해서는 작용하중 단계마다 적용되는 유효단면을 적절히 고려하여야 한다.	0	
21	구조격막의 경계요소는 격막 면내에 작용하는 계수축력과, 그 단면의 계수휨모멘트를 단면에서 격막의 경계요소 사이의 거리로 나눈 값의 합력을 저항할 수 있도록 크기가 결정되어야 한다.	1	['경계요소는', '합력을', '저항할']
22	전단연결재의 피로강도는 다음과 같이 구한다.	0	
23	강봉에 관한 것은 KS D 3505의 규정에 따라야 한다.	0	
24	다만, 모든 단면의 설계강도가 KDS 14 20 10(3) 적용한 소요강도 이상이어야 하고 처짐의 제한 등 사용성을 만족하여야 한다.	1	['설계강도가', '사용성을', '만족하여야 한다.']
25	프리캐스트콘크리트 세그멘트의 이음부에는 세그멘트 접합면의 전단저항강도를 증진시키기 위한 전단키를 설치하여야 한다.	0	
26	연속경간에서 이음은 고정하중에 의한 휨모멘트 방향의 변환점 또는 변환점 가까이 있는 곳에 있도록 해야 한다.	0	
27	기초의 연단부터 기초 깊이의 1/2 이내에 연단이 있는 특수철근콘크리트 구조벽체의 기둥 또는 경계요소는 4.5.4에 따라 기초의 상단 아래로 횡방향 철근을 설치하여야 한다.	1	['경계요소는', '철근을', '설치하여야 한다.']
28	이 조항은 강축 또는 약축 휨을 받는 조밀 또는 비조밀단면 웨브 및 조밀, 비조밀 또는 세장판 단면플랜지를 갖는 직사각형, 정사각형 및 2축대칭 각형강관에 적용한다.	0	
29	이 절은 내진설계된 구조물을 지지하는 콘크리트 말뚝, 교각 및 케이슨에 적용하여야 한다.	0	
30	수평보강재가 있는 웨브 패널의 공칭전단강도를 구할 때에는 웨브의 전체높이를 사용한다.	0	
31	그 외의 기초판은 (4)와 KDS 14 20 22(4.11), KDS 14 20 24의 규정을 만족시켜야 한다.	1	['기초판은', '규정을', '만족시켜야 한다.']
32	특수한 평판요소의 구조해석은 합리적인 하중조건이나 지지조건하에서 실행한다.	0	
33	전단철근이 있는 부재는 복부콘크리트의 압축파괴가 전단보강철근이 항복한 이후에 일어나도록 설계하여야 한다.	0	
34	건물에서 부재의 안전성을 재하시험 결과에 근거하여 직접 평가할 경우에는 보, 슬래브 등과 같은 휨부재의 안전성 검토에만 적용할 수 있다.	0	
35	압연거더에 설치되는 다이아프램이나 수직가새의 높이는 거더 높이의 1/2 이상으로 하고, 플레이트거더에 설치되는 경우에는 가능한 한 높게 한다.	0	
36	고정하중에 의한 정점부 및 어깨부 휨모멘트는 다음 식을 따른다.	0	
37	케이블구조물의 설계계산에서는 케이블부재 휨강성의 영향과 케이블의 신장에 의한 미소한 처짐의 영향은 무시한다.	0	
38	케이블로 사용되는 강재는 표 3.1-2의 선재 및 선재2차제품의 KS에 따른다.	0	
39	한 쪽의 플랜지에 집중하중을 받는 경우에는 플랜지 국부휨, 웨브 국부항복, 웨브 크리플링 및 웨브 횡좌굴에 대하여 4.1.10.1, 4.1.10.2, 4.1.10.3 및 4.1.10.4에 의해 각각 설계한다.	0	
40	용접이음과 기계적이음은 다음 강도 규정에 따라야 한다.	0	
41	특수 및 중간 모멘트골조에서, 임계용접부로 지정되어야 하는 완전용입 그루브용접에는 다음의 경우를 포함한다.	0	
42	충전형 합성단면의 설계휨강도는 다음과 같이 구한다.	0	
43	또한 이러한 띠철근이나 스터럽은 압축철근이 배치되는 전 구간에 배치되어야 한다.	0	
